Scenario Name,BankIdentifier,TransferType,MacssIdType,MacssId,PaymentName,FromAccount,Amount,RecipientAccount,BeneficiaryName,Remarks,BeneficiaryBank,Category,Username,Password,Currency,RemittanceAmount,BeneficiaryCountry,BeneficiaryIban,BeneficiaryAddress1,BeneficiaryAddress2,BeneficiaryBankBIC,BeneficiaryBankClearingCode,BeneficiaryBankName,BeneficiaryBankAddress,IntermediaryBIC,ChargeOption,Action
Add Beneficiary for other SBM Account Transfer,Other SBM Account Transfer,,,,John Monthly Rent,00120100026407,100,02510100007660,,Rent,,Transfer,1197301,Test$1234,,,,,,,,,,,,,Add
Add Beneficiary for other SBM Account Transfer,Other SBM Account Transfer,,,,Isha Monthly 1,00130100000265- Overdraft,50,00136200041196,,Utility,,Uncategorised Templates,1169650,Test$1234,,,,,,,,,,,,,Add
Add Beneficiary for other Local Bank Transfer (Normal),Other Local Bank Transfer,Normal,,,Rajesh Local Pay,00120100026407,250,02510100007660,Rajesh Kumar,Local transfer,Maubank Ltd,Transfer,1197301,Test$1234,,,,,,,,,,,,,Add
Add Beneficiary for other Local Bank Transfer(MACSS),Other Local Bank Transfer,MACSS,Account,02510100007660,Rajesh MACSS Acc,00120100026407,250,02510100007660,Rajesh Kumar,MACSS account transfer,Maubank Ltd,Transfer,1197301,Test$1234,,,,,,,,,,,,,Add
Add Beneficiary for  other Local Bank Transfer(IBAN),Other Local Bank Transfer,MACSS,IBAN,02510100007660,Rajesh MACSS IBAN,00120100026407,250,,Rajesh Kumar,MACSS IBAN transfer,Maubank Ltd,Transfer,1197301,Test$1234,,,,,,,,,,,,,Add
Add Beneficiary for  other Local Bank Transfer(Instant),Other Local Bank Transfer,Instant,,,Rajesh Instant Pay,00120100026407,250,02510100007660,Rajesh Kumar,Instant transfer,Bank One Ltd,Transfer,1197301,solution@27,,,,,,,,,,,,,Add
Add Beneficiary for Swift Transfer,SWIFT Transfer,,,,Rajesh SWIFT Basic,00120100026407,,,Rajesh Kumar,"SWIFT basic",,Transfer,1197301,Test@1234,MUR,250,India,IN4720000000000000123456789,12 MG Road,Bengaluru,HDFCINBB,HDFC0001234,"HDFC BANK LIMITED","HDFC BANK HOUSE, PAREL, MUMBAI",HDFCINBB,SHA,Add
ADD Beneficiary (Swift Transfer),SWIFT Transfer,,,,Rajesh BOJO SWIFT With Intermediary,00120100026407,,,Rajesh Kumar,"SWIFT with interm",,Transfer,1197301,Test@1234,USD,100,United States,US64SVBKUS6S3300958879,45 5th Ave,New York,BOFAUS3N,026009593,"BANK OF AMERICA, N.A.","CHARLOTTE, NC",CHASUS33,OUR,Add
Delete Existing Beneficiary,SWIFT Transfer,,,,Rajesh SWIFT Basic,,,,,,,,1197301,Test@1234,,,,,,,,,,,,,Delete
Edit Existing Beneficiary (Other Local bank ),Other Local Bank Transfer,MACSS,Account,02510100007660,Rajesh MACSS Acc,00120100026407,250,02510100007660,Rajesh Kumar,"MACSS account transfer edited",Maubank Ltd,Uncategorised Templates,1197301,solution@27,,,,,,,,,,,,,Edit
Edit Existing Beneficiary (Other SBM Account),Other SBM Account Transfer,,,,Ashveen,00130100000265- Overdraft,38.00,,Ashveen 5,via automation1,Maubank Ltd,Uncategorised Templates,1169650,welcome@12,,,,,,,,,,,,,Edit
Edit Existing Beneficiary (Other SBM Account),Other SBM Account Transfer,,,,Isha Monthly,"00130100000265- Overdraft",70.00,00136200041196,,Utility - edited,,Personal,1169650,welcome@12,,,,,,,,,,,,,Edit
Pay Existing Beneficiary (Other SBM Account-Normal),Other SBM Account Transfer,Normal,,,Ashveen,00130100000265- Overdraft,28,00136200041196,Ashveen,Gift,,Personal,1169650,welcome@12,,,,,,,,,,,,,pay
Pay Existing Beneficiary (Other Local Bank-MACSS),Other Local Bank Transfer,MACSS,,,Self,00130100000265,50,1267879,Self,via automation,MAURITIUS COMMERCIAL BANK LTD,Personal,1169650,welcome@32,MUR,50,,,,,,,,,,,Pay
Pay Existing Beneficiary (Swift Transfer),SWIFT Transfer,,,,Rajesh SWIFT Basic,00130100000265,,,,"via automation",,International,1197301,solution@32,USD,10, , ,, , , , , ,CITIUS33,OUR,pay
Pay,Other SBM Account Transfer,,,,John Monthly Rent,,200001,,,,,,1197301,solution@32,,,,,,,,,,,,,Pay
Pay,Other Local Bank Transfer,Normal,,,Rajesh Local Pay,,1001,,,,Maubank Ltd,,1197301,solution@32,,,,,,,,,,,,,Pay
