FlowType;Description;Sender_Account;Recipient_Account;Pay_n_Transfer_SubMenu;Amount;TransferDate;Remarks;OTP;ErrMsg_Amount;ErrMsg_AC_No;ErrMsg_Remarks;ErrMsg_sameAccount;Err_Popup;ErrMsg_OTP;Transfer_Currency;Sender_Account_Nickname;Username;Password;ExchangeRateType;AssociatedXRayID;SBMTestCaseID
Happy;Transfer for MUR to MUR accounts;00810100275952;02510100007660;Other SBM Account Transfer;100.00;TODAY;Transfer from MUR to MUR;;;;;;;;MUR;00810100275952 Mur;1118260;Test$1234;;SQP|288|SQP-312;IB_1166|IB_1168|IB-1192|IB_1223|IB_1225|IB_1233|IB_1252|IB_1253|IB_1254|IB_1255|IB_1257|IB_1258|IB_1259|IB_1260|IB_1261|IB_1262|IB_1263|IB_1264|IB_1267|IB_1268
Unhappy;Transfer for MUR to FCY accounts not allowed;00810100275952;00126200000413;Other SBM Account Transfer;100.00;TODAY;Transfer from MUR to FCY;;;;;;Transaction not permitted;;MUR;;1118260;Test$1234;;SQP-288;IB_1234|IB_1235
Happy;Transfer for FCY to MUR accounts;00126200000413;00810100275952;Other SBM Account Transfer;1.00;TODAY;Transfer from FCY to MUR;;;;;;;;EUR;$$$$$$$$;adam;welcome@32;;SQP_288;IB-1218|IB_1219|IB_1220|IB_1236|IB_1237
Happy;Transfer for FCY to FCY accounts;00126200000413;50100000478849;Other SBM Account Transfer;1.00;TODAY;Transfer from FCY to FCY;;;;;;;;EUR;$$$$$$$$;adam;welcome@32;;SQP-288|SQP-312;IB_1221|IB_12385|IB_1239|IB_1240
Unhappy;Required fields;00810100275952;;Other SBM Account Transfer;;TODAY;;;Amount is required;Recipient A/C No. is required;Remarks is required;;;;MUR;;1118260;Test$1234;;SQP-312|SQP-313;IB-1231|IB_1232|IB_1224|IB_1227|IB_1228|IB_1231|IB_1232
Unhappy;Invalid Account Number entered;00810100275952;008101002759;Other SBM Account Transfer;100.00;TODAY;Transfer with invalid account number;;;Please enter the valid account number;;;;;MUR;;1118260;Test$1234;;SQP-288;IB_1265|IB_1266
Unhappy;Recipient AC is 14 digits but not a SBM Account;00810100275952;00123450067801;Other SBM Account Transfer;100.00;TODAY;Transfer with not SBM account;;;Recipient account is not found;;;;;MUR;;1118260;Test$1234;;SQP_313;IB_1229|IB_1230
Unhappy;Recipient account and Sender account are same;00810100275952;00810100275952;Other SBM Account Transfer;100.00;TODAY;Transfer within same accounts;;;;;Sending and receiving accounts cannot be the same;;;MUR;;1118260;Test$1234;;SQP-312;IB_1215
Unhappy;Transfer more than available balance;50300000915874;02510100007660;Other SBM Account Transfer;60000.00;TODAY;Transfer more than available balance;;;;;Amount cannot be greater than available balance;;;MUR;;1118260;Test$1234;;SQP_313;IB_1222|IB_1226
Unhappy;Transfer more than daily limit;00810100275952;02510100007660;Other SBM Account Transfer;250000.00;TODAY;Transfer limit test;;;;;;Daily limit Exceeded;;MUR;;1118260;Test$1234;;SQP-313;IB_1247|IB_1248|IB_1249
