Flow_Type,Scenario_Name,Username,Password,From_Account_Number,Transfer_To,Currency,Amount,Transaction_Date,Remarks
Positive,Positive Recharge my prepaid card Mur to FCY,1031410,Test@1234,00120100005090,466084******3330,USD,2,,test from MUR account
Positive,Positive Recharge my prepaid card FCY to MUR,1031410,Test@1234,50100000392480,466084******3330,USD,2,,test from FCY account
Positive,Positive Recharge my prepaid card MUR to MUR,1598830,Test@1234,50100000283955,466089******8659,MUR,100,,test from MUR to MUR account
Positive,Positive Recharge my prepaid card FCY to FCY,1031410,Test@1234,50100000392480,466084******3330,USD,50,,test from FCY to FCY
Negative,Negative Recharge my prepaid to test daily limit MUR to MUR,1506574,Test@1234,01310100067954,466089******9079,MUR,160000,,daily limit test MUR to MUR
Negative,Negative Recharge my prepaid to test daily limit MUR to FCY,1031410,Test@1234,00310100113997,466084******3330,USD,3355.60,,daily limit MUR to FCY
Negative,Negative Recharge my prepaid to test daily limit FCY to FCY,1031410,Test@1234,50100000505606,466084******3330,EUR,3400,,daily limit FCY to FCY
Negative,Negative Recharge my prepaid Amount & limit empty,1031410,Test@1234,003101001013997,466084******3330,USD,,, 
Negative,Negative Recharge my prepaid Amount entered & limit empty,1031410,Test@1234,003101001013997,466084******3330,USD,10.00,, 
Negative,Negative Recharge my prepaid Amount empty & limit entered,1598832,Test@1234,577777777777777777777777,MUR,,,amount left blank
Negative,Negative Recharge my prepaid Amount > than available balance,1506574,Test@1234,01310100067954,466089******9079,MUR,20000000,,Exceeded amount
