Scenario Name,Username,Password,From_Account_Number,Transfer_To,Currency,Amount,Transaction_Date,Remarks
Positive Recharge my prepaid card Mur to FCY,1031410,PASSWORD,00120100005090,466084******3330,USD,2,,test from MUR account
Positive Recharge my prepaid card FCY to MUR,1031410,PASSWORD,50100000392480,466084******3330,USD,2,,test from FCY account
Positive Recharge my prepaid card MUR to MUR,1598830,welcome@10,50100000283955,466089******8659,MUR,100,,test from MUR to MUR account
Positive Recharge my prepaid card FCY to FCY,1031410,PASSWORD,50100000392480,466084******3330,USD,50,,test from FCY to FCY
Negative Recharge my prepaid to test daily limit MUR to MUR,1506574,welcome@10,01310100067954,466089******9079,MUR,160000,,daily limit test MUR to MUR
Negative Recharge my prepaid to test daily limit MUR to FCY,1031410,PASSWORD,00310100113997,466084******3330,USD,3355.60,,daily limit MUR to FCY
Negative Recharge my prepaid to test daily limit FCY to FCY,1031410,PASSWORD,50100000505606,466084******3330,EUR,3400,,daily limit FCY to FCY
Negative Recharge my prepaid Amount & limit empty,1031410,PASSWORD,003101001013997,466084******3330,USD,,, 
Negative Recharge my prepaid Amount entered & limit empty,1031410,PASSWORD,003101001013997,466084******3330,USD,10.00,, 
Negative Recharge my prepaid Amount empty & limit entered,1031410,PASSWORD,003101001013997,466084******3330,USD,,,amount left blank
Negative Recharge my prepaid Amount > than available balance,1506574,welcome@10,01310100067954,466089******9079,MUR,20000000,,Exceeded amount
